descriptor,structure,setting_id,shell_tolerance,min_shell_size,value
poly_volume_mean,mixed_anion,5,0.8,4,81.6648148148148
target_bond_center,mixed_anion,5,0.8,4,2.533333333333333
a2_max_dist,mixed_anion,6,0.8,0,3.4641016151377544
coordination_number_mean,mixed_anion,6,0.8,0,2.5
covalency_index,mixed_anion,6,0.8,0,0.8041296022480828
direction_ratio,mixed_anion,6,0.8,0,1.0
ellipsoid_oblateness,mixed_anion,6,0.8,0,2.000000000000001
framework_bond_rigidity,mixed_anion,6,0.8,0,1.0745187615662664
framework_na_distance_stability,mixed_anion,6,0.8,0,0.17157287525380996
framework_poly_distortion,mixed_anion,6,0.8,0,0.09214036535714963
framework_sharing_topology,mixed_anion,6,0.8,0,1.0
max_bond_length,mixed_anion,6,0.8,0,3.4641016151377544
mean_bond_length,mixed_anion,6,0.8,0,3.3581558667391604
min_bond_length,mixed_anion,6,0.8,0,3.1462643699419726
na_x_en_diff,mixed_anion,6,0.8,0,2.614
poly_distortion_mean,mixed_anion,6,0.8,0,0.046070182678574816
poly_volume_mean,mixed_anion,6,0.8,0,81.6648148148148
target_bond_center,mixed_anion,6,0.8,0,2.533333333333333
